Voltage (V),Current (A)
0.0,-4.808e-09
0.01,3.231e-09
0.01999,3.569e-09
0.03,-4.321e-09
0.04,2.991e-09
0.0501,4.259e-09
0.0601,-4.093e-09
0.0701,2.651e-09
0.0801,5.005e-09
0.09009,-3.604e-09
0.1001,2.264e-09
0.1101,5.67e-09
0.1201,-3.125e-09
0.1301,2.009e-09
0.1401,6.305e-09
0.1502,-2.476e-09
0.1602,1.785e-09
0.1702,6.926e-09
0.1802,-1.879e-09
0.1902,1.673e-09
0.2002,7.552e-09
0.2102,-1.114e-09
0.2202,1.536e-09
0.2302,8.065e-09
0.2402,-3.01e-10
0.2503,1.655e-09
0.2603,8.695e-09
0.2703,7.75e-10
0.2803,1.781e-09
0.2903,9.35e-09
0.30029,1.863e-09
0.3103,2.054e-09
0.3203,1.0256e-08
0.3303,3.132e-09
0.3403,2.469e-09
0.3504,1.1231e-08
0.36039,4.534e-09
0.3704,2.986e-09
0.3804,1.2223e-08
0.39039,6.143e-09
0.4004,3.639e-09
0.4104,1.3076e-08
0.42039,7.875e-09
0.4304,4.526e-09
0.4404,1.4072e-08
0.4505,9.658e-09
0.4605,6.01e-09
0.4705,9.927e-09
0.4805,1.5953e-08
0.49049,7.454e-09
0.5005,1.0622e-08
0.5105,1.7233e-08
0.5205,9.101e-09
0.5305,1.1423e-08
0.5405,1.8675e-08
0.55059,1.0959e-08
0.5606,1.241e-08
0.5706,2.0163e-08
0.58059,1.2875e-08
0.5906,1.3576e-08
0.60059,2.1885e-08
0.61059,1.5001e-08
0.6206,1.4776e-08
0.6306,2.3747e-08
0.64059,1.7329e-08
0.6507,1.6172e-08
0.6607,2.5675e-08
0.67069,1.9808e-08
0.6807,1.7802e-08
0.6907,2.7476e-08
0.70069,2.2444e-08
0.7107,1.9618e-08
0.7207,2.9492e-08
0.73069,2.5205e-08
0.7407,2.1558e-08
0.7508,3.1458e-08
0.76079,2.8166e-08
0.7708,2.3742e-08
0.7808,3.3632e-08
0.7908,3.102e-08
0.8008,2.609e-08
0.8108,3.5851e-08
0.8208,3.4154e-08
0.8308,2.8726e-08
0.8408,3.8289e-08
0.8509,3.7331e-08
0.8609,3.1474e-08
0.8709,4.0717e-08
0.88089,4.0648e-08
0.8909,3.4413e-08
0.9009,4.3319e-08
0.9109,4.548e-08
0.9209,3.7694e-08
0.9309,4.3264e-08
0.9409,4.8905e-08
0.951,4.1055e-08
0.961,4.5713e-08
0.971,5.2336e-08
0.981,4.4459e-08
0.991,4.849e-08
1.001,5.5653e-08
1.011,4.8235e-08
